Question,Ground Truth,LLM Response,Ground Tool,Tool Called,Response Correctness,Tool Correctness
আমার আগামী সপ্তাহে একটা অ্যাপয়েন্টমেন্ট দরকার।,"আপনার পছন্দের দিন এবং সময় বলুন, আমি চেক করে জানাচ্ছি।","আপনার জন্য অ্যাপয়েন্টমেন্ট চেক করছি। একটু অপেক্ষা করুন।দুঃখিত, আমি এখনই ক্যালেন্ডার চেক করতে পারছি না। তবে আপনি চাইলে আমি আপনার জন্য অ্যাপয়েন্টমেন্ট বুক করে দিতে পারি। আপনি কোন দিন এবং সময় পছন্দ করবেন?",check_calendar_availability,check_calendar_availability,0.6489392695127822,True
"আমার দাঁতের ব্যথা হচ্ছে, আমি কি আজকেই ডেন্টিস্টের সাথে দেখা করতে পারি?",আমি আজকের জন্য সময় চেক করে জানাচ্ছি।,"দুঃখিত, আমি এই মুহূর্তে ক্যালেন্ডার চেক করতে পারছি না। তবে আপনি চাইলে আমি আপনার জন্য অনলাইন ডক্টরের সাহায্য নিতে পারি।",check_calendar_availability,check_calendar_availability,0.290902048440027,True
আমার অ্যাপয়েন্টমেন্ট কনফার্ম করতে চাই। ২৮ জানুয়ারী ২০২৫ সকাল ১০ টাই আপনি যে বললেন ফ্রি আছে সেই টাইম এ। ,আপনার অ্যাপয়েন্টমেন্ট কনফার্ম করছি।,"দুঃখিত, আপনার অ্যাপয়েন্টমেন্ট কনফার্ম করতে সমস্যা হচ্ছে। আপনি কি একটু পরে আবার চেষ্টা করতে পারবেন? ",book_calendar,book_calendar,0.21067599463507017,True
আমার দাঁতের সমস্যা নিয়ে একজন ডেন্টিস্টের সাথে কথা বলতে চাই।,আমি একজন ডেন্টিস্টের সাথে আপনার কথা বলানোর ব্যবস্থা করছি।,"আপনার দাঁতের সমস্যার জন্য একজন ডেন্টিস্টের সাথে কথা বলার জন্য আমি আপনাকে সাহায্য করতে পারি। দয়া করে আপনার সমস্যার বিস্তারিত বলুন, যাতে আমি আপনাকে সঠিকভাবে সাহায্য করতে পারি।",online_doctor_assistant,to_online_doctor_assistant,0.48859635453175965,True
আমার দাঁতের সমস্যা নিয়ে একজন অনলাইন ডক্টরের সাথে কথা বলতে চাই।,আমি একজন অনলাইন ডক্টরের সাথে আপনার কথা বলানোর ব্যবস্থা করছি।,"আপনার দাঁতের সমস্যার জন্য অনলাইন ডক্টরের সাথে কথা বলার জন্য আমি এখানে আছি। আপনার সমস্যাটি একটু বিস্তারিত বলুন, যাতে আমি আপনাকে সাহায্য করতে পারি।",online_doctor_assistant,to_online_doctor_assistant,0.5677783883451624,True
আমার অ্যাপয়েন্টমেন্ট ক্যান্সেল reschedule করতে চাই।,দয়া করে আপনার নতুন সময়টা বলুন?,আপনার অ্যাপয়েন্টমেন্ট কখন ছিল? আমি চেক করে দেখছি নতুন সময় পাওয়া যায় কিনা।,,[],0.4037767647550378,True
আমার দাঁতের সমস্যা নিয়ে একজন ডেন্টিস্টের সাথে কথা বলতে চাই।,আমি একজন ডেন্টিস্টের সাথে আপনার কথা বলানোর ব্যবস্থা করছি।,দাঁতের সমস্যা নিয়ে কথা বলার জন্য আমি আপনাকে সহায়তা করতে পারি। আপনার বিশেষ কোন সমস্যা আছে কি?,online_doctor_assistant,to_online_doctor_assistant,0.4064038138770165,True
আমার দাঁতের সমস্যা নিয়ে একজন অনলাইন ডক্টরের সাথে কথা বলতে চাই।,আমি একজন অনলাইন ডক্টরের সাথে আপনার কথা বলানোর ব্যবস্থা করছি।,"আপনার দাঁতের সমস্যা নিয়ে আলোচনা করতে আমি এখানে আছি। সমস্যা সম্পর্কে একটু বিস্তারিত বলুন, যাতে আমি আপনাকে সাহায্য করতে পারি।",online_doctor_assistant,to_online_doctor_assistant,0.3328336805852556,True
আমার দাঁতের সমস্যা নিয়ে একজন ডেন্টিস্টের সাথে কথা বলতে চাই।,আমি একজন ডেন্টিস্টের সাথে আপনার কথা বলানোর ব্যবস্থা করছি।,"আপনার দাঁতের সমস্যার জন্য একজন ডেন্টিস্টের সাথে কথা বলতে চাইলে, আমি আপনাকে একজন অনলাইন ডক্টর সহায়তা করতে পারি। আপনি কি আপনার সমস্যা সংক্ষেপে জানাতে পারবেন?",online_doctor_assistant,to_online_doctor_assistant,0.39086456955048265,True
আমার দাঁতের সমস্যা নিয়ে একজন অনলাইন ডক্টরের সাথে কথা বলতে চাই।,আমি একজন অনলাইন ডক্টরের সাথে আপনার কথা বলানোর ব্যবস্থা করছি।,আপনার দাঁতের সমস্যা নিয়ে আলোচনা করার জন্য অনলাইন ডক্টরের সাথে যোগাযোগ করানো হচ্ছে। দয়া করে কিছুক্ষণ অপেক্ষা করুন।,online_doctor_assistant,to_online_doctor_assistant,0.7543241013116037,True
